species	id	protein	query	target	pident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
DNA/TIR/IS4	TE_000222	transposase	Pi_fam_41.trim	Pi_fam_41.trim	1	127	0	0	1	127	1	127	4.768E-84	268
DNA/TIR/IS4	TE_000223	transposase	Pi_novelB_transposase	Pi_novelB_transposase	1	216	0	0	1	216	1	216	1.018E-140	437
DNA/TIR/IS4	TE_000224	transposase	PITT_12815.orfA	PITT_12815.orfA	1	388	0	0	1	388	1	388	1.477E-263	801
DNA/TIR/IS4	TE_000224	transposase	PITT_12815.orfA	PITT_06784.is4	0.448	234	122	4	144	375	3	231	2.863E-59	210
DNA/TIR/IS4	TE_000224	transposase	PITT_12815.orfA	PITG_19276	0.362	317	183	7	62	374	24	325	1.654E-55	199
DNA/TIR/IS4	TE_000224	transposase	PITT_12815.orfA	Ps136140	0.358	318	187	7	62	376	50	353	2.312E-53	192
DNA/TIR/IS5	TE_000225		PIF12_ZM_tp#DNA/IS5	PIF12_ZM_tp#DNA/IS5	1	252	0	0	1	252	1	252	1.71E-164	507
DNA/TIR/Kolobok	TE_000226		Kolobok-1_BF_tp#DNA/Kolobok	Kolobok-1_BF_tp#DNA/Kolobok	1	835	0	0	1	835	1	835	0	1663
DNA/TIR/Kolobok	TE_000226		Kolobok-1_BF_tp#DNA/Kolobok	Kolobok-2_BF_tp#DNA/Kolobok	0.499	873	323	14	1	832	1	800	6.584E-249	783
DNA/TIR/Kolobok	TE_000226		Kolobok-1_BF_tp#DNA/Kolobok	Kolobok-1_XT_tp#DNA/Kolobok	0.371	431	252	5	352	774	337	756	1.847E-84	299
DNA/TIR/Kolobok	TE_000226		Kolobok-1_BF_tp#DNA/Kolobok	Kolobok-2_XT_tp#DNA/Kolobok	0.334	487	306	8	354	832	305	781	2.845E-79	284
DNA/TIR/Kolobok	TE_000226		Kolobok-1_BF_tp#DNA/Kolobok	Kolobok-1_DR_tp#DNA/Kolobok	0.308	483	317	8	353	832	229	697	5.96E-67	246
DNA/TIR/Kolobok	TE_000227		Kolobok-1_CB_tp#DNA/Kolobok	Kolobok-1_CB_tp#DNA/Kolobok	1	418	0	0	1	418	1	418	5.209E-281	853
DNA/TIR/Kolobok	TE_000228		Kolobok-1_DR_p2#DNA/Kolobok	Kolobok-1_DR_p2#DNA/Kolobok	1	155	0	0	1	155	1	155	9.731E-101	318
DNA/TIR/Kolobok	TE_000229		Kolobok-1_NV_p2#DNA/Kolobok	Kolobok-1_NV_p2#DNA/Kolobok	1	171	0	0	1	171	1	171	5.993E-118	368
DNA/TIR/Kolobok	TE_000230		Kolobok-1_NV_tp#DNA/Kolobok	Kolobok-1_NV_tp#DNA/Kolobok	1	746	0	0	1	746	1	746	0	1505
DNA/TIR/Kolobok	TE_000231		Kolobok-2_BF_p2#DNA/Kolobok	Kolobok-2_BF_p2#DNA/Kolobok	1	281	0	0	1	281	1	281	7.445E-198	605
DNA/TIR/Kolobok	TE_000231		Kolobok-2_BF_p2#DNA/Kolobok	Kolobok-1_BF_p2#DNA/Kolobok	0.613	207	72	4	77	278	15	218	6.528E-78	259
DNA/TIR/Kolobok	TE_000232		Kolobok-2_TV_tp#DNA/Kolobok	Kolobok-2_TV_tp#DNA/Kolobok	1	465	0	0	1	465	1	465	8.271E-315	953
DNA/TIR/Kolobok	TE_000232		Kolobok-2_TV_tp#DNA/Kolobok	Kolobok-4_TV_tp#DNA/Kolobok	0.261	429	272	10	27	423	33	448	1.994E-35	141
DNA/TIR/Kolobok	TE_000232		Kolobok-2_TV_tp#DNA/Kolobok	Kolobok-1_TV_tp#DNA/Kolobok	0.222	351	243	10	36	372	4	338	4.51E-10	61
DNA/TIR/Kolobok	TE_000233		Kolobok-2_XT_p2#DNA/Kolobok	Kolobok-2_XT_p2#DNA/Kolobok	1	228	0	0	1	228	1	228	4.373E-156	482
DNA/TIR/Kolobok	TE_000233		Kolobok-2_XT_p2#DNA/Kolobok	Kolobok-1_XT_p2#DNA/Kolobok	0.493	150	74	2	77	225	38	186	6.693E-42	152
DNA/TIR/Kolobok	TE_000234		Kolobok-3_TV_tp#DNA/Kolobok	Kolobok-3_TV_tp#DNA/Kolobok	1	424	0	0	1	424	1	424	2.105E-285	866
DNA/TIR/Kolobok	TE_000235		Kolobok-5_TV_tp#DNA/Kolobok	Kolobok-5_TV_tp#DNA/Kolobok	1	833	0	0	1	833	1	833	0	1712
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-14_HM_tp#DNA/Kolobok-Hydra	1	613	0	0	1	613	1	613	0	1273
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-20_HMa_tp#DNA/Kolobok-Hydra	0.455	619	307	8	1	613	1	595	1.783E-164	527
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-17_HM_tp#DNA/Kolobok-Hydra	0.45	570	291	6	49	613	39	591	3.414E-156	503
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-11_HM_tp#DNA/Kolobok-Hydra	0.442	617	313	8	4	613	3	595	7.769E-155	499
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-8_HM_tp#DNA/Kolobok-Hydra	0.429	538	288	6	82	613	66	590	1.185E-139	454
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-12_HM_tp#DNA/Kolobok-Hydra	0.415	589	298	15	45	613	33	594	4.495E-132	432
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-7_HM_tp#DNA/Kolobok-Hydra	0.414	565	296	13	56	613	52	588	3.515E-130	427
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-19_HMa_tp#DNA/Kolobok-Hydra	0.413	607	323	11	12	611	11	591	6.164E-153	493
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-16_HM_tp#DNA/Kolobok-Hydra	0.408	570	309	12	47	613	50	594	7.836E-134	437
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-4_HM_tp#DNA/Kolobok-Hydra	0.405	624	326	15	7	613	14	609	1.776E-127	419
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-15_HM_tp#DNA/Kolobok-Hydra	0.4	582	323	10	43	613	40	606	7.905E-129	423
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-9_HM_tp#DNA/Kolobok-Hydra	0.389	632	332	18	1	613	1	597	3.31E-127	418
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-13_HM_tp#DNA/Kolobok-Hydra	0.385	614	336	16	10	613	18	599	1.886E-130	428
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-18_HM_tp#DNA/Kolobok-Hydra	0.376	542	288	13	78	613	90	587	2.356E-103	348
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-2_HM_tp#DNA/Kolobok-Hydra	0.343	576	307	13	11	561	14	543	7.647E-96	326
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-10_HM_tp#DNA/Kolobok-Hydra	0.331	607	356	15	10	604	21	589	5.06E-89	306
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-3_HM_tp#DNA/Kolobok-Hydra	0.328	496	272	10	83	574	98	536	7.959E-82	285
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-21_HMa_tp#DNA/Kolobok-Hydra	0.326	619	346	18	13	613	17	582	1.487E-87	302
DNA/TIR/Kolobok/Hydra	TE_000236		Kolobok-14_HM_tp#DNA/Kolobok-Hydra	Kolobok-1_NVi_tp#DNA/Kolobok-Hydra	0.321	528	316	10	80	597	82	576	2.36E-86	298
DNA/TIR/Kolobok/IS4EU	TE_000237		IS4EU-1_AA_tp#DNA/IS4EU	IS4EU-1_AA_tp#DNA/IS4EU	1	430	0	0	1	430	1	430	3.07E-286	869
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	IS4EU-1_NV_ex#DNA/IS4EU	1	995	0	0	1	995	1	995	0	2090
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	ISL2EU-4_HM_ex#DNA/IS4EU	0.297	562	324	20	162	681	1	533	7.051E-55	209
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	IS4EU-1_BF_ex#DNA/IS4EU	0.276	246	153	7	447	681	279	510	2.492E-18	90
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	ISL2EU-5_HM_ex#DNA/Kolobok-IS4EU	0.275	533	318	20	153	652	111	608	1.504E-37	153
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	ISL2EU-1_HM_ex#DNA/IS4EU	0.27	620	381	26	107	681	1	593	6.04E-44	174
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	IS4EU-1_AA_ex#DNA/IS4EU	0.259	409	215	21	233	575	91	477	2.396E-09	60
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	ISL2EU-2_HM_ex#DNA/IS4EU	0.247	489	319	14	109	562	48	522	1.565E-31	133
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	ISL2EU-7_HMa_ex#DNA/Kolobok-IS4EU	0.235	468	308	13	143	574	60	513	1.421E-15	81
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	IS4EU-1_DR_ex#DNA/IS4EU	0.233	492	322	21	144	623	45	493	1.701E-14	77
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	ISL2EU-6_HM_ex#DNA/Kolobok-IS4EU	0.231	600	397	23	121	681	66	640	2.064E-31	133
DNA/TIR/Kolobok/IS4EU	TE_000238		IS4EU-1_NV_ex#DNA/IS4EU	ISL2EU-3_HM_ex#DNA/IS4EU	0.226	476	307	16	143	574	69	527	1.305E-17	87
DNA/TIR/Kolobok/IS4EU	TE_000239		IS4EU-1_NV_tp#DNA/IS4EU	IS4EU-1_NV_tp#DNA/IS4EU	1	538	0	0	1	538	1	538	0	1085
DNA/TIR/Kolobok/IS4EU	TE_000239		IS4EU-1_NV_tp#DNA/IS4EU	ISL2EU-4_HM_tp#DNA/IS4EU	0.324	552	316	18	4	535	5	519	1.395E-61	222
DNA/TIR/Kolobok/IS4EU	TE_000240		IS4EU-2_DR_ex#DNA/IS4EU	IS4EU-2_DR_ex#DNA/IS4EU	1	515	0	0	1	515	1	515	0	1056
DNA/TIR/Kolobok/IS4EU	TE_000241		ISL2EU-7_HMa_tp#DNA/Kolobok-IS4EU	ISL2EU-7_HMa_tp#DNA/Kolobok-IS4EU	1	552	0	0	1	552	1	552	0	1112
DNA/TIR/Kolobok/IS4EU	TE_000241		ISL2EU-7_HMa_tp#DNA/Kolobok-IS4EU	ISL2EU-3_HM_tp#DNA/IS4EU	0.582	474	179	7	82	547	33	495	4.65E-166	528
DNA/TIR/Kolobok/IS4EU	TE_000241		ISL2EU-7_HMa_tp#DNA/Kolobok-IS4EU	IS4EU-1_DR_tp#DNA/IS4EU	0.409	227	131	2	308	532	218	443	6.914E-46	175
DNA/TIR/Kolobok/IS4EU	TE_000241		ISL2EU-7_HMa_tp#DNA/Kolobok-IS4EU	IS4EU-2_DR_tp#DNA/IS4EU	0.34	482	276	15	86	546	11	471	1.065E-61	223
DNA/TIR/Kolobok/IS4EU	TE_000241		ISL2EU-7_HMa_tp#DNA/Kolobok-IS4EU	ISL2EU-2_HM_tp#DNA/IS4EU	0.319	545	310	16	45	548	1	525	3.589E-61	221
DNA/TIR/Kolobok/IS4EU	TE_000241		ISL2EU-7_HMa_tp#DNA/Kolobok-IS4EU	IS4EU-1_BF_tp#DNA/IS4EU	0.317	478	257	8	85	548	4	426	1.852E-59	216
DNA/TIR/Kolobok/IS4EU	TE_000241		ISL2EU-7_HMa_tp#DNA/Kolobok-IS4EU	ISL2EU-1_HM_tp#DNA/IS4EU	0.304	470	251	13	85	540	4	411	2.699E-50	188
DNA/TIR/Kolobok/IS4EU	TE_000241		ISL2EU-7_HMa_tp#DNA/Kolobok-IS4EU	ISL2EU-5_HM_tp#DNA/Kolobok-IS4EU	0.293	525	307	11	82	548	3	521	7.918E-48	181
DNA/TIR/Kolobok/IS4EU	TE_000242		Kolobok1-1_TCa#DNA/IS4EU	Kolobok1-1_TCa#DNA/IS4EU	1	564	0	0	1	564	1	564	0	1148
DNA/TIR/Merlin	TE_000243		23013242_Mma#DNA/Merlin	23013242_Mma#DNA/Merlin	1	261	0	0	1	261	1	261	5.839E-179	550
DNA/TIR/Merlin	TE_000243		23013242_Mma#DNA/Merlin	48764084_Rru#DNA/Merlin	0.413	242	111	6	1	234	1	219	2.025E-43	158
DNA/TIR/Merlin	TE_000243		23013242_Mma#DNA/Merlin	54303052_Ppr#DNA/Merlin	0.336	220	123	7	4	221	27	225	1.619E-23	100
DNA/TIR/Merlin	TE_000244		39582861_Cbr#DNA/Merlin	39582861_Cbr#DNA/Merlin	1	321	0	0	1	321	1	321	7.78E-228	694
DNA/TIR/Merlin	TE_000244		39582861_Cbr#DNA/Merlin	39582767_Cbr#DNA/Merlin	0.615	320	118	1	1	320	1	315	1.252E-138	437
DNA/TIR/Merlin	TE_000244		39582861_Cbr#DNA/Merlin	55240967_Aga#DNA/Merlin	0.434	152	78	3	130	278	10	156	2.352E-31	125
DNA/TIR/Merlin	TE_000244		39582861_Cbr#DNA/Merlin	AF293351_Aal#DNA/Merlin	0.364	222	127	6	68	285	15	226	1.119E-34	135
DNA/TIR/Merlin	TE_000244		39582861_Cbr#DNA/Merlin	55235819_Aga#DNA/Merlin	0.359	189	112	4	93	278	1	183	1.335E-26	111
DNA/TIR/Merlin	TE_000244		39582861_Cbr#DNA/Merlin	56758764_Sja#DNA/Merlin	0.308	107	68	2	83	189	7	107	0.0002227	42
DNA/TIR/Merlin	TE_000244		39582861_Cbr#DNA/Merlin	Merlin4_SM#DNA/Merlin	0.295	284	180	9	23	300	8	277	7.972E-31	123
DNA/TIR/Merlin	TE_000244		39582861_Cbr#DNA/Merlin	Merlin3_SM#DNA/Merlin	0.286	244	153	10	46	282	31	260	3.032E-21	94
DNA/TIR/Merlin	TE_000244		39582861_Cbr#DNA/Merlin	Merlin-1_XT#DNA/Merlin	0.255	297	193	12	26	319	9	280	1.241E-17	83
DNA/TIR/Merlin	TE_000245		39598301_Cbr#DNA/Merlin	39598301_Cbr#DNA/Merlin	1	427	0	0	1	427	1	427	8.147E-291	882
DNA/TIR/Merlin	TE_000245		39598301_Cbr#DNA/Merlin	39591585_Cbr#DNA/Merlin	0.273	369	198	18	97	427	21	357	9.19E-18	85
DNA/TIR/Merlin	TE_000246		42631589_Hin#DNA/Merlin	42631589_Hin#DNA/Merlin	1	108	0	0	1	108	1	108	2.336E-69	225
DNA/TIR/Merlin	TE_000247		46156674_Hso#DNA/Merlin	46156674_Hso#DNA/Merlin	1	396	0	0	1	396	1	396	2.367E-264	804
DNA/TIR/Merlin	TE_000247		46156674_Hso#DNA/Merlin	33148876_Hdu#DNA/Merlin	0.685	343	108	0	44	386	1	343	7.934E-152	479
DNA/TIR/Merlin	TE_000247		46156674_Hso#DNA/Merlin	33148937_Hdu#DNA/Merlin	0.643	362	124	3	38	395	2	362	3.476E-147	466
DNA/TIR/Merlin	TE_000247		46156674_Hso#DNA/Merlin	46143253_Apl#DNA/Merlin	0.498	337	164	1	44	375	1	337	5.918E-96	317
DNA/TIR/Merlin	TE_000247		46156674_Hso#DNA/Merlin	46156348_Hso#DNA/Merlin	0.465	350	179	3	44	386	1	349	2.828E-95	315
DNA/TIR/Merlin	TE_000247		46156674_Hso#DNA/Merlin	33148872_Hdu#DNA/Merlin	0.438	335	180	3	44	371	1	334	3.243E-80	271
DNA/TIR/Merlin	TE_000247		46156674_Hso#DNA/Merlin	21109571_Xax#DNA/Merlin	0.376	353	196	3	44	375	1	350	7.531E-62	218
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	46578998_Dvu#DNA/Merlin	1	312	0	0	1	312	1	312	6.23E-217	662
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	23474798_Dde#DNA/Merlin	0.697	274	83	0	34	307	12	285	5.941E-126	400
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	ZP_02733384.1	0.31	277	146	11	35	300	4	246	1.007E-18	87
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	32029019_Hso#DNA/Merlin	0.297	205	122	7	107	301	3	195	4.372E-10	60
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	YP_001600137.1	0.297	101	70	1	99	199	13	112	0.0006563	40
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	YP_718532.1	0.295	213	128	7	99	301	15	215	1.835E-11	64
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	NP_283026.1	0.293	133	87	3	99	230	13	139	2.935E-05	44
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	YP_001599668.1	0.293	133	87	3	99	230	13	139	5.168E-05	44
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	NP_283470.1	0.292	130	85	3	99	227	13	136	5.168E-05	44
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	ABW93691.1	0.287	209	132	6	100	300	21	220	1.765E-13	70
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	ABW93675.1	0.282	209	133	4	100	300	21	220	2.362E-13	70
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	31335179_Nme#DNA/Merlin	0.282	202	128	4	100	293	21	213	1.375E-11	64
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	AAP44503.1	0.282	202	128	4	100	293	21	213	1.375E-11	64
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	ZP_02723141.1	0.275	160	104	4	99	257	13	161	1.667E-05	45
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	YP_001598588.1	0.272	158	103	4	99	255	13	159	2.935E-05	44
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	4102010_Hpa#DNA/Merlin	0.26	215	129	9	99	300	13	210	1.299E-06	49
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	EDN73961.1	0.257	190	125	5	99	282	13	192	0.0001207	42
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	YP_974531.1	0.252	202	123	6	99	287	21	207	9.78E-07	49
DNA/TIR/Merlin	TE_000248		46578998_Dvu#DNA/Merlin	ISTde3_Tde#DNA/Merlin	0.247	202	140	5	99	296	12	205	1.004E-07	52
DNA/TIR/Merlin	TE_000249		52548231_Sma#DNA/Merlin	52548231_Sma#DNA/Merlin	1	125	0	0	1	125	1	125	2.878E-83	266
DNA/TIR/Merlin	TE_000250		54302505_Ppr#DNA/Merlin	54302505_Ppr#DNA/Merlin	1	396	0	0	1	396	1	396	3.938E-266	809
DNA/TIR/Merlin	TE_000250		54302505_Ppr#DNA/Merlin	ISAzvi1_Avi#DNA/Merlin	0.411	209	119	3	172	379	1	206	1.164E-36	143
DNA/TIR/Merlin	TE_000250		54302505_Ppr#DNA/Merlin	30248752_Neu#DNA/Merlin	0.382	301	175	6	81	379	1	292	7.479E-51	185
DNA/TIR/Merlin	TE_000250		54302505_Ppr#DNA/Merlin	15790046_Hsa#DNA/Merlin	0.261	256	167	9	135	379	28	272	2.033E-12	68
DNA/TIR/Merlin	TE_000250		54302505_Ppr#DNA/Merlin	ISSod11_Son#DNA/Merlin	0.246	280	174	12	135	396	46	306	8.159E-06	47
DNA/TIR/Merlin	TE_000250		54302505_Ppr#DNA/Merlin	54028461_Polaromonas#DNA/Merlin	0.218	192	116	6	157	332	2	175	0.0007174	40
DNA/TIR/Merlin	TE_000251		55234192_Aga#DNA/Merlin	55234192_Aga#DNA/Merlin	1	508	0	0	1	508	1	508	0	1011
DNA/TIR/Merlin	TE_000252		55239500_Aga#DNA/Merlin	55239500_Aga#DNA/Merlin	1	204	0	0	1	204	1	204	7.883E-141	436
DNA/TIR/Merlin	TE_000253		56208014_Dre#DNA/Merlin	56208014_Dre#DNA/Merlin	1	339	0	0	1	339	1	339	1.038E-231	706
DNA/TIR/Merlin	TE_000253		56208014_Dre#DNA/Merlin	CA939780_Hgl#DNA/Merlin	0.41	134	64	5	160	288	17	140	1.07E-19	90
DNA/TIR/Merlin	TE_000253		56208014_Dre#DNA/Merlin	Merlin1_CI#DNA/Merlin	0.377	159	65	6	171	296	106	263	4.68E-19	88
DNA/TIR/Merlin	TE_000253		56208014_Dre#DNA/Merlin	21703214_Bvi#DNA/Merlin	0.329	94	52	4	221	312	4	88	1.152E-06	49
DNA/TIR/Merlin	TE_000253		56208014_Dre#DNA/Merlin	Merlin1_SM#DNA/Merlin	0.324	296	174	12	41	334	29	300	9.698E-25	106
DNA/TIR/Merlin	TE_000253		56208014_Dre#DNA/Merlin	Merlin1_HS#DNA/Merlin	0.317	274	168	10	43	312	25	283	4.123E-30	122
DNA/TIR/Merlin	TE_000253		56208014_Dre#DNA/Merlin	Merlin2_SM#DNA/Merlin	0.308	292	163	11	40	316	20	287	6.926E-22	97
DNA/TIR/Merlin	TE_000254		56754251_Sja#DNA/Merlin	56754251_Sja#DNA/Merlin	1	190	0	0	1	190	1	190	5.928E-125	390
DNA/TIR/Merlin	TE_000255		56756623_Sja#DNA/Merlin	56756623_Sja#DNA/Merlin	1	109	0	0	1	109	1	109	9.956E-74	237
DNA/TIR/Merlin	TE_000256		58583728_Xor#DNA/Merlin	58583728_Xor#DNA/Merlin	1	367	0	0	1	367	1	367	3.323E-249	758
DNA/TIR/Merlin	TE_000256		58583728_Xor#DNA/Merlin	IS1595_Xca#DNA/Merlin	0.746	320	81	0	48	367	1	320	1.273E-162	509
DNA/TIR/Merlin	TE_000256		58583728_Xor#DNA/Merlin	58583584_Xor#DNA/Merlin	0.744	215	33	4	113	315	6	210	1.359E-90	300
DNA/TIR/Merlin	TE_000256		58583728_Xor#DNA/Merlin	58582464_Xor#DNA/Merlin	0.549	335	146	4	33	365	1	332	1.619E-109	355
DNA/TIR/Merlin	TE_000256		58583728_Xor#DNA/Merlin	54308951_Ppr#DNA/Merlin	0.513	113	54	1	108	220	7	118	1.374E-29	121
DNA/TIR/Merlin	TE_000256		58583728_Xor#DNA/Merlin	ISSpo3_Spo#DNA/Merlin	0.295	298	193	8	57	347	9	296	5.571E-30	122
DNA/TIR/Merlin	TE_000256		58583728_Xor#DNA/Merlin	45914460_Mesorhizobium#DNA/Merlin	0.292	222	132	5	82	282	22	239	2.824E-19	89
DNA/TIR/Merlin	TE_000257		7226209_Nme#DNA/Merlin	7226209_Nme#DNA/Merlin	1	57	0	0	1	57	1	57	1.585E-36	127
DNA/TIR/Merlin	TE_000258		AV383621_Hro#DNA/Merlin	AV383621_Hro#DNA/Merlin	1	174	0	0	1	174	1	174	2.227E-116	364
DNA/TIR/Merlin	TE_000259		ISSpo8_Spo#DNA/Merlin	ISSpo8_Spo#DNA/Merlin	1	355	0	0	1	355	1	355	6.37E-242	737
DNA/TIR/Merlin	TE_000259		ISSpo8_Spo#DNA/Merlin	28262953_Rsi#DNA/Merlin	0.313	198	128	5	100	293	11	204	1.804E-19	90
DNA/TIR/Mirage	TE_000260		Mirage#DNA/Mirage	Mirage#DNA/Mirage	1	805	0	0	1	805	1	805	0	1628
DNA/TIR/Mirage	TE_000261		Mirage1_CB#DNA/Mirage	Mirage1_CB#DNA/Mirage	1	278	0	0	1	278	1	278	2.882E-183	563
DNA/TIR/MuDR	TE_000262		17534253_Cel#DNA/MuDR	17534253_Cel#DNA/MuDR	1	779	0	0	1	779	1	779	0	1595
DNA/TIR/MuDR	TE_000263		17544214_Cel#DNA/MuDR	17544214_Cel#DNA/MuDR	1	874	0	0	1	874	1	874	0	1819
DNA/TIR/MuDR	TE_000264		17555878_Cel#DNA/MuDR	17555878_Cel#DNA/MuDR	1	557	0	0	1	557	1	557	0	1144
DNA/TIR/MuDR	TE_000265		17976675_Cin#DNA/MuDR	17976675_Cin#DNA/MuDR	1	544	0	0	1	544	1	544	0	1116
DNA/TIR/MuDR	TE_000266		18539138_Cin#DNA/MuDR	18539138_Cin#DNA/MuDR	1	548	0	0	1	548	1	548	0	1091
DNA/TIR/MuDR	TE_000266		18539138_Cin#DNA/MuDR	13928075_Cpa#DNA/MuDR	0.235	339	235	9	3	328	63	390	3.381E-18	88
DNA/TIR/MuDR	TE_000266		18539138_Cin#DNA/MuDR	MuDR2x_AP#DNA/MuDR	0.233	265	182	10	48	299	22	278	3.297E-06	49
DNA/TIR/MuDR	TE_000267		19848307_Cje#DNA/MuDR	19848307_Cje#DNA/MuDR	1	392	0	0	1	392	1	392	1.07E-274	833
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	25028021_Cef#DNA/MuDR	1	447	0	0	1	447	1	447	3.632E-299	907
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	549115_Cdi#DNA/MuDR	0.77	344	78	1	104	447	1	343	1.228E-180	565
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	37519902_Gvi#DNA/MuDR	0.482	352	178	2	45	396	29	376	2.372E-104	344
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	46132715_Reu#DNA/MuDR	0.452	409	200	3	36	443	29	414	1.204E-109	359
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	27817685_Rox#DNA/MuDR	0.449	363	190	4	24	380	15	373	3.495E-94	314
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	46321330_Bce#DNA/MuDR	0.448	404	200	2	40	443	4	384	2.25E-109	359
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	ISMca5_Mca#DNA/MuDR	0.439	414	204	3	30	438	21	411	3.243E-104	344
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	IS1113_Xor#DNA/MuDR	0.434	412	202	6	31	439	1	384	2.573E-102	338
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	24372299_Son#DNA/MuDR	0.432	423	210	4	26	442	2	400	1.676E-101	336
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	46320998_Bce#DNA/MuDR	0.431	417	211	3	30	443	22	415	1.843E-110	362
DNA/TIR/MuDR	TE_000268		25028021_Cef#DNA/MuDR	ISRso7_Rso#DNA/MuDR	0.429	433	219	5	14	443	4	411	1.736E-104	344
